"Description","Rooms","m_sq","Series","Price","Floor_nr","Max_floors","Hood","Street_a","Street"
"Attistitajs pardod 1 istabas dzivokli renoveta maja Wielona Nami","1",29,"P. kara",49980,2,5,"Maskavas priekspilseta","Vilanu 16","Vilanu"
"Ïîñëåäíèå 8 êâàðòèð â ýòîì ïðîåêòå. 



2-êîìíàòíàÿ êâàðòèðà íàï","2",48,"Renov.",124280,1,6,"Centrs","Lacplesa 24","Lacplesa"
"Pardod investiciju objektu ar esosu naudas plusmu Avotu iela 66a","5",105,"Renov.",160000,1,5,"Centrs","Avotu 66a","Avotu"
"Pardosana majigs un gaiss divistabu dzivoklis Rigas centra. Dziv","2",30,"Renov.",59000,2,5,"Centrs","Avotu 66a","Avotu"
"Pardodu vienistabas dzivokli klusaja Teikas rajona. 



Dzivokli","1",30,"Hrusc.",37000,5,5,"Teika","Ropazu 28","Ropazu"
"Ñîáñòâåííèê ïðîäàåò 4 êîìíàòíóþ êâàðòèðó â êèðïè÷íîì ñïåö. ïðîåê","4",95,"Specpr.",168500,6,7,"Centrs","Vesetas 10","Vesetas"
"Piedavajam iegadaties labiekartotu 2 istabu dzivokli renovata ek","2",49,"Renov.",137500,2,5,"Centrs","Krasotaju 11","Krasotaju"
"Pardod vienistabas dzivokli centra. Zemi komunalie maksajumi, dz","1",22,"P. kara",16900,2,3,"Centrs","Valmieras 25","Valmieras"
"Plass 3-istabu dzivoklis skaista nama Rigas vesturiskaja centra","3",111,"Renov.",287820,6,6,"Centrs","Valdemara 37","Valdemara"
"Ipasnieki pardod remontejamu plasu vienas istabas dzivokli ar vi","1",48,"Specpr.",39900,6,6,"Centrs","Zvaigznu 26","Zvaigznu"
"Pardod 3 istabu dzivokli, privatizetu, ar visam ertibam Imanta,","3",68,"602.",65000,6,9,"Imanta","Dammes 8","Dammes"
"The developer offers a spacious two-level 3-room apartment in a","3",78,"Renov.",191345,5,6,"Centrs","Birznieka-Upisa 10A","Birznieka"
"Piedavaju jauku 47 kvm 2istabu dzivokli Jugla, Lilastes iela 5.","2",47,"Hrusc.",53900,5,5,"Jugla","Lilastes 5","Lilastes"
"Skaists, ekskluzivs dzivoklis pilsetas Centra, Lacplesa iela. Dz","3",88,"P. kara",199000,2,5,"Centrs","Lacplesa 47","Lacplesa"
"Ïðîäà¸ì êâàðòèðó íà óëèöå Hapsalas 5, 5-ûé ýòàæ 5-òè ýòàæíîãî äî","1",18,"M. gim.",15900,5,5,"Sarkandaugava","Hapsalas 5","Hapsalas"
"Ïðîäà¸ì êâàðòèðó íà óëèöå Íèöãàëåñ 25, 1-ûé ýòàæ 5-òè ýòàæíîãî ä","3",71,"Specpr.",71000,1,5,"Purvciems","Nicgales 25","Nicgales"
"Ïðîäàåì êâàðòèðó íà óëèöå Ïðèåæó 12, íà áëàãîóñòðîåííîé òåððèòîð","1",20,"P. kara",12000,2,3,"Sarkandaugava","Priezu 12","Priezu"
"Ïðîäà¸ì êâàðòèðó íà óëèöå Staru 21, 3-èé ýòàæ 5-òè ýòàæíîãî äîìà","3",62,"LT proj.",55000,3,5,"Vecmilgravis","Staru 21","Staru"
"Ïðîäà¸ì êâàðòèðó íà óëèöå Hipokrata 45, 1-ûé ýòàæ 9-òè ýòàæíîãî","3",64,"602.",62000,1,9,"Mezciems","Hipokrata 45","Hipokrata"
"Ïðîñòîðíàÿ îäíîêîìíàòíàÿ êâàðòèðà 104 ñåðèè ñ áîëüøîé ëîäæèåé è","1",45,"104.",52000,4,16,"Zolitude","Zolitudes 34 k1","Zolitudes"
"Pardodu 1 istabas dzivokli veca koka maja Daugavas Krasta. Wc, D","1",32,"P. kara",29000,2,2,"Kipsala","Oglu 34","Oglu"
"Piedavajam iegadaties labiekartotu 3 istabu dzivokli ar divam gu","3",69,"Renov.",262110,4,6,"Centrs","Blaumana 12","Blaumana"
"Ekskluzivs, gaiss, plass un majigs 3-istabu dzivoklis, pagalma p","3",93,"P. kara",285000,2,3,"Centrs","Valdemara 49","Valdemara"
"Ïðîäà¸òñÿ 3-êîìíàòíàÿ êâàðòèðà. Ïëàñòèêîâûå îêíà, 2 æåëåçíûå äâå","3",76,"P. kara",110000,5,6,"Centrs","Stabu 50","Stabu"
"Ipasnieks pardod plasu 2 istabu dzivokli, kas atrodas Heinriha D","2",54,"P. kara",54000,6,6,"Centrs","Caka 121","Caka"
"Ïðîäà¸òñÿ 2-êîìíàòíàÿ êâàðòèðà. 

Îäíà êîìíàòà èçîëèðîâàííàÿ, âò","2",42,"Hrusc.",42000,5,5,"Agenskalns","Kandavas 8/8","Kandavas"
"Pardosana piedavajam studija tipa dzivokli jaunaja projekta Kuld","1",28,"Renov.",73000,1,5,"Agenskalns","Kuldigas 45b","Kuldigas"
"Pardosana 2 istabu dzivoklis jaunaja projekta Kuldigas iela. Vie","2",36,"Renov.",92000,1,5,"Agenskalns","Kuldigas 45b","Kuldigas"
"Vai Jums ir vajadzigs labs 4-istabu dzivoklis? 



+ Dzivoklis p","4",92,"P. kara",119000,3,3,"Agenskalns","Slokas 18","Slokas"
"Ïðîäàåòñÿ êâàðòèðà áåç ðåìîíòà, íå óãëîâàÿ, îñâîáîæäåííàÿ. 

Çåë","2",44,"LT proj.",38000,3,5,"Kengarags","Maskavas 279","Maskavas"
"Elegants 2 izoletu istabu dzivoklis klusaja centra. Majai slegts","2",69,"Jaun.",175000,3,4,"Centrs","Rupniecibas 20","Rupniecibas"
"Bez starpniekiem. Lugums starpniekus netraucet. Foto ir istas. R","2",46,"LT proj.",53500,5,5,"Purvciems","Vaidavas 9","Vaidavas"
"Íà óëèöå Ýëèçåáåòåñ, ïðîñòîðíàÿ, ñîëíå÷íàÿ, 4õ êîìíàòíàÿ êâàðòèð","4",150,"P. kara",275000,3,5,"Centrs","Elizabetes 81","Elizabetes"
"Ipasnieks pardod 3 istabu dzivokli Kengaraga preti TC Akropolis.","3",62,"LT proj.",50990,5,5,"Kengarags","Salaspils 6","Salaspils"
"Attistitajs pardod 2. istabas dzivokli renoveta maja Wielona Nam","2",47,"P. kara",57600,1,5,"Maskavas priekspilseta","Vilanu 14","Vilanu"
"Pardosana plass divu istabu dzivoklis ar ertu planojumu. 



+ 1","2",58,"119.",68500,3,7,"Zolitude","Rostokas 58","Rostokas"
"Pardod gaisu un majigu dzivokli Teika. 



Dzivoklim mainiti log","2",43,"Hrusc.",52000,5,5,"Teika","Brivibas 320","Brivibas"
"Pardosana majigs dzivokla ipasums viena no prestizakajam vietam","3",110,"P. kara",283000,4,4,"Centrs","Elizabetes 19","Elizabetes"
"Idealais dzivoklis Tev un tavai gimenei. Musdieniga dizaina perl","4",112,"Jaun.",319200,11,23,"Centrs","Grostonas 25","Grostonas"
"Pardod siltu un majigu 3 istabu dzivokli Zolitude. 



Planojums","3",74,"119.",83000,8,9,"Zolitude","Zolitudes 46","Zolitudes"
"Pardod majigu 4 istabu dzivokli Purvciema. 



Dzivokla planojum","4",89,"119.",85000,2,9,"Purvciems","Madonas 19","Madonas"
"Pardosana saulains 3 istabu dzivoklis projekta Jauna Teika.","3",68,"Jaun.",149000,1,10,"Teika","Ropazu 14","Ropazu"
"Attistitajs pardod 2. istabas dzivokli renoveta maja Wielona Nam","2",33,"P. kara",39900,1,5,"Maskavas priekspilseta","Vilanu 16","Vilanu"
"Attistitajs pardod 2. istabas dzivokli renoveta maja Wielona Nam","2",41,"P. kara",47000,1,5,"Maskavas priekspilseta","Vilanu 14","Vilanu"
"Öåíà áûñòðîé ïðîäàæè 

Íå óãëîâàÿ, ñ î÷åíü óäîáíîé ïëàíèðîâêîé(","2",43,"Hrusc.",52500,1,5,"Centrs","Valdemara 72A","Valdemara"
"Ïðîäàåòñÿ ïðîñòîðíàÿ êâàðòèðà ñ ëîäæèåé. 



Ïðèÿòíûé âèä èç îêî","1",39,"M. gim.",32500,5,5,"Teika","Ropazu 87","Ropazu"
"1 istabas dzivoklis Jugla. Atrodas 12-stavu maja, 4.stava, ir li","1",31,"Specpr.",32950,4,12,"Jugla","Veldres 32","Veldres"
"Ipasnieks pardod dzivokli 1910. gada celta jugendstila nama, arh","4",78,"P. kara",78000,2,6,"Centrs","Cesu 43","Cesu"
"Erts, kompakts studio tipa vienistabas dzivoklis ar individualu","1",28,"Specpr.",43000,2,3,"Teika","Ropazu 98","Ropazu"
"Ïðîäà¸ì 1 êîìíàòíóþ êâàðòèðó íà áåðåãó Äàóãàâû íà âûñîêîì ïåðâîì","1",34,"Cehu pr.",34000,1,12,"Kengarags","Kaniera 14","Kaniera"
"Pardod plasu 3-istabu dzivokli ar platibu 111, 9 m2. 

+Planojum","3",112,"Jaun.",149000,1,5,"Ziepniekkalns","Vienibas g. 192","Vienibas"
"Tiek pardots kvalitativs 3 istabu dzivoklis Maskavas 163. Pirms","3",70,"P. kara",95000,6,6,"Krasta"," Maskavas 163","Maskavas"
"Dzivoklis ar savu terasi, atsevisku ieeju un augstiem griestiem.","2",41,"Renov.",91000,1,6,"Centrs","Caka 105","Caka"
"Sobrid tiek sakopta un sakartota 1912. gada celta eka Aluksnes i","2",51,"Renov.",65650,4,5,"Centrs","Aluksnes 1","Aluksnes"
"Ipasnieks pardod izremontetu vienistabas dzivokli. 

Lieliska in","1",41,"M. gim.",41500,1,9,"Purvciems","Purvciema 57","Purvciema"
"Penthaus - 6 un 7 stavs, 

- 4 gulamistabas, dzivojama platiba 1","5",204,"Jaun.",314000,6,7,"Centrs","Caka 134","Caka"
"Gaiss un majigs trisistabu dzivoklis Plavniekos. 



Virtuve ier","3",61,"602.",89000,2,7,"Plavnieki","Jasmuizas 16","Jasmuizas"
"Piedavajam iegadaties ekskluzivu cetru istabu dzivokli jaunaja p","4",190,"Jaun.",650000,4,4,"Centrs","Citadeles 6","Citadeles"
"Pardodu 4 istabu dzivokli. Zeme ir ipasuma. Nav stura dzivoklis,","4",77,"602.",78000,2,9,"Plavnieki","Rudens 3","Rudens"
"Trisistabu dzivoklis jaunaja projekta Kern Residences, Citadeles","3",94,"Jaun.",3e+05,2,4,"Centrs","Citadeles 6","Citadeles"
"Pardod 2 istabu dzivokli klusaja Teikas puse. Dzivoklis ideala s","2",55,"LT proj.",65000,5,5,"Teika","Palmu 6","Palmu"
"Tiek pardots 4-istabu dzivokli laba stavokli ar nestandarta un l","4",103,"Hrusc.",90000,2,5,"Ziepniekkalns","Zalenieku 40","Zalenieku"
"Ñâåæèé ðåìîíò, íîâàÿ êóõíÿ (îñòàâëÿåì), èäåàëüíî ïåíñèîíåðó èëè","1",26,"Hrusc.",37000,1,5,"Centrs","Mastu 6","Mastu"
"Trisistabu dzivoklis jaunaja projekta Kern Residences, Citadeles","3",98,"Jaun.",250000,2,4,"Centrs","Citadeles 6","Citadeles"
"Pardodas istaba 13m , maja ar kopigu virtuvi, vannas istabu un v","1",13,"P. kara",9200,2,3,"Jugla","Brivibas 387","Brivibas"
"Ïðîäà¸òñÿ óþòíàÿ 3-õ êîìíàòíàÿ êâàðòèðà â ïðîåêòå Jauna Teika ñ","3",96,"Jaun.",163800,7,10,"Teika","Ropazu 12","Ropazu"
"Ipasnieks pardod divistabu dzivokli (viena istaba caurstaigajama","2",48,"P. kara",75000,2,6,"Centrs","Stabu 46/48","Stabu"
"Piedava pardosanai 1 istabu dzivokli Purvciema Raunas iela ar ko","1",30,"Hrusc.",33000,5,5,"Purvciems","Raunas 46","Raunas"
"Pardodu dzivokli ideala atrasanas vieta, divu min gajiena sabied","1",34,"M. gim.",41500,5,5,"Imanta","Kurzemes pr. 20","Kurzemes"
"Pardodam ekskluzivu penthouse dzivokli jaunaja projekta. 



4 i","4",111,"Jaun.",199000,10,10,"Centrs","Brivibas 230","Brivibas"
"Ïðîäàåòñÿ 2õ êîìíàòíàÿ êâàðòèðà ñòóäèÿ, ïëîùàäü 55, 2 êâ. ì. 

Ê","2",55,"Jaun.",175000,3,9,"Centrs","Republikas laukums 3","Republikas"
"Pardodu 3-istabu dzivokli, ar stavvietu pagalma. Apkure uz skait","3",81,"P. kara",168000,5,6,"Centrs","Brivibas 147","Brivibas"
"Tiek pardots 3 istabu dzivoklis renoveta maja Agenskalna. Dzivok","3",81,"Renov.",175000,2,5,"Agenskalns","Alises 5","Alises"
"2-óõ êîìíàòíàÿ êâàðòèðà â 5-òè ìèíóòàõ îò Ìåæàïàðêà (âõîä ñî ñòî","2",50,"467.",58500,1,9,"Mezaparks","Viestura pr. 14","Viestura"
"Êâàðòèðà îñâîáîæäåíà, íå çàëîæåíà, áåç äîëãîâ. Ëîäæèÿ 8 êâ. ì, â","1",44,"M. gim.",37000,8,9,"Plavnieki","Lubanas 115","Lubanas"
"Ïðîäàåòñÿ äâóõêîìíàòíàÿ êâàðòèðà 602 ñåð. , ðåäêàÿ óäà÷íàÿ ïëàíè","2",53,"602.",50500,6,9,"Imanta","Kurzemes pr. 98","Kurzemes"
"Ipasniece (bez starpniekiem) pardod, Riga, Centrs, Riga, Alaukst","3",69,"103.",99000,5,5,"Grizinkalns","Alauksta 16","Alauksta"
"Pardod kvalitativu 2stavu dzivokli jauna projekta klusaja centra","2",46,"Jaun.",149500,5,6,"Centrs","Strelnieku 4b","Strelnieku"
"Dzivoklis blakus Jaunajai Teikai. Lieliska lokacija- Brivibas ie","1",20,"P. kara",12500,2,2,"Purvciems","Unijas 7","Unijas"
"Pardodam 2 istabu dzivokli (60m2) 119. serija. Dzivoklim ir 1 iz","2",60,"119.",77000,5,9,"Zolitude","Zolitudes 36","Zolitudes"
"Ïðîäà¸òñÿ êâàðòèðà-ñòóäèÿ â ðåíîâèðîâàííîì äîìå ñî âñåìè óäîáñòâ","1",19,"Renov.",25000,2,3,"Kengarags","Krustpils 123A","Krustpils"
"Pardosana tris istabu dzivoklis ar augstiem griestiem un lielu p","3",57,"Stalina",40000,1,2,"Vecmilgravis","Baltasbaznicas 31","Baltasbaznicas"
"Êâàðòèðà ñ ðåìîíòîì, ïëàñòèêîâûå îêíà, ÷àñòè÷íî ñ ìåáåëüþ è òåõí","2",50,"602.",47900,6,9,"Vecmilgravis","Ledus 2","Ledus"
"Ïðîäà¸ò õîçÿèí ñàìûé íîâûé öåíòð âñå íîâîå ñ ìåáåëüþ îëèìïèéñêèé","2",63,"Jaun.",145000,3,10,"Centrs","Grostonas 19","Grostonas"
"Ïðåäëàãàåòñÿ íà ïðîäàæó ÷èñòàÿ, óõîæåííàÿ êâàðòèðà â ñàìîì îáû÷í","2",49,"602.",49900,9,9,"Darzciems","Zeltinu 15","Zeltinu"
"Ipasnieks pardod 1-istabas izremontetu dzivokli (42.5 m3, 4 stav","1",43,"M. gim.",52000,4,5,"Dzeguzkalns","Dzirciema 24a","Dzirciema"
"Ïðîäàåòñÿ ñâåòëàÿ, óþòíàÿ êâàðòèðà ñ êàïèòàëüíûì ðåìîíòîì ( ðåìî","3",57,"LT proj.",55000,5,1,"Vecmilgravis","Emmas 9","Emmas"
"Åâðîðåìîíò. Íå óãëîâàÿ. Òåïëàÿ è ñîëíå÷íàÿ. Òîëüêî ÷òî îòðåìîíòè","1",34,"103.",35950,5,5,"Vecmilgravis","Dombrovska 77","Dombrovska"
"Ñîáñòâåíèê. 

Ïðåäëàãàåòñÿ 2-êîìíàòíàÿ êâàðòèðà 35 ì2 â ñàìîì èñ","2",34,"P. kara",58600,5,5,"Centrs","Zvaigznu 2","Zvaigznu"
"Lux  Ýêñêëþçèâíûå, ïðîñòîðíûå, ñâåòëûå àïàðòàìåíòû â öåíòðå Ðèã","6",188,"Specpr.",2500000,2,5,"Centrs","Elizabetes 3","Elizabetes"
"Dzivoklis ir pec kapitala remonta, saskana ar Eiro standartiem -","2",44,"Hrusc.",51500,2,5,"Kengarags","Prusu 22/2","Prusu"
"Saulains un gaiss 2 istabu dzivoklis ar lodziju



- Jauns proje","2",47,"Jaun.",62275,4,5,"Kengarags","Prusu 4","Prusu"
"Pardosana burvigs 2 limenu dzivoklis Vecriga, Meistaru 8, Riga.","4",82,"P. kara",140000,4,5,"Vecriga","Meistaru 8","Meistaru"
"Nepalaidiet garam iespeju iegadaties lielisku divistabu dzivokli","2",55,"Specpr.",65500,3,5,"Kengarags","Maskavas 259","Maskavas"
"Silts 1-istabu dzivoklis 5 min no Rigas centra. Vienmer vares iz","1",18,"P. kara",8480,1,2,"Maskavas priekspilseta","M. Lubanas 17","M"
"Blakus Daugava, lieliska vieta. Virtuve un istaba kopa - studio","1",18,"Priv. m.",7780,2,2,"Voleri","Podraga 51","Podraga"
"Virtuve, tualete un 2 istabas. Dusai, vieta ieksa. Jataisa grida","2",35,"P. kara",16675,1,3,"Centrs","Zvaigznu 31","Zvaigznu"
"Ezera krasta. Pie pludmales. Der ari ka vasarnica. Normala stavo","1",28,"P. kara",5880,2,2,"Jaunciems","Gailenu 6","Gailenu"
"Burvigs skats pa logu. Gazes apkures tehniskie noteikumi. 

Saul","1",23,"Specpr.",9770,4,4,"Maskavas priekspilseta","Vilanu 1","Vilanu"
"Ïðîäàþ óþòíóþ äâóõ êîìíàòíóþ êâàðòèðó ñ õîðîøèì ðåìîíòîì. , èëè","2",42,"Hrusc.",45000,5,5,"Ilguciems","Vaidelotes 18","Vaidelotes"
"Õîçÿèí ïðîäà¸ò ñâåòëóþ, óþòíóþ êâàðòèðó â öåíòðå Çèåïíèåêêàëíñà.","2",51,"Jaun.",71200,2,10,"Ziepniekkalns","Ozolciema 40A","Ozolciema"
"Pardod saulainu, siltu 2-istabu dzivokli ar lodziju jaunaja liet","2",49,"LT proj.",39099,2,5,"Ilguciems","Lidonu 3a","Lidonu"
"Ïðîäàåòñÿ ñîëíå÷íàÿ êâàðòèðà â öåíòðå ðàéîíà Èìàíòà - 4.

Ðÿäîì","2",38,"LT proj.",39500,2,5,"Imanta","Slokas 140","Slokas"
"Pardod musdienigu studijas tipa divistabu dzivokli Jugla. Viesis","2",43,"Stalina",40000,1,2,"Jugla","Skrudalienas 15","Skrudalienas"
"Pardod atbrivotu dzivokli. Dzivoklis silts, sauss, nav stura, vi","1",32,"602.",35000,2,9,"Plavnieki","Tinuzu 14","Tinuzu"
"Ïðîäàþ îäíîêîìíàòíóþ ò¸ïëóþ êâàðòèðó â Ïóðâöèåìñå. Âñÿ èíôðàñòðó","1",19,"M. gim.",13000,4,5,"Purvciems","Burtnieku 33","Burtnieku"
"Ipasnieks pardod plasu un gaisu 4 istabu dzivokli, Plavniekos.","4",77,"602.",71000,3,9,"Plavnieki","Grestes 2","Grestes"
"Pardod 2 istabu dzivokli jauna projekta ""Vienibas Nami"". 

Izole","2",58,"Jaun.",85000,1,6,"Ziepniekkalns","Bikstu 6","Bikstu"
"Pardod vienistabas dzivokli Plavniekos. 

Bez remonta, bet laba","1",40,"M. gim.",34800,5,9,"Plavnieki","Tinuzu 7","Tinuzu"
"Ïðîäàåòñÿ 4-êîìíàòíàÿ êâàðòèðà â Êåíãàðàãñå. Êâàðòèðà 467 ñåðèè,","4",78,"467.",78000,2,9,"Kengarags","Visku 1","Visku"
"Jaunaja projekta Agenskalna, tiek pardots 3 istabu dzivoklis.","3",67,"Jaun.",138000,2,4,"Agenskalns","Ventspils 006","Ventspils"
"Pardodu saulainu un majigu dzivoklis ar atsevisku ieeju un pagal","1",25,"Priv. m.",34000,1,1,"Ziepniekkalns","Bauskas 101C","Bauskas"
"Tiek pardots divistabu dzivoklis ar lodziju maja, kura atrodas e","2",53,"Specpr.",48800,3,5,"Kengarags","Maskavas 409","Maskavas"
"Pardod saulainu tris istabu dzivokli Agenskalna priedes- klusa u","3",54,"Hrusc.",73000,5,5,"Agenskalns","Agenskalna 22C","Agenskalna"
"Ïðîäàþ êâàðòèðó â êàïèòàëüíîì äîìå Ñòàëèíñêîé ïîñòðîéêè. ×àñòè÷í","2",64,"Stalina",40000,1,2,"Daugavgriva","Lepju 7","Lepju"
"Bëàäåëåö ïðîäàåò ñîëíå÷íóþ, ïðîñòîðíóþ 4-õ êîìíàòíóþ êâàðòèðó â","4",78,"467.",75500,6,9,"Purvciems","Dzelzavas 55","Dzelzavas"
"Tiek pardots dzivoklis pec kapitala remonta, parplanots, saskano","3",69,"P. kara",120000,1,3,"Teika","Raunas 26","Raunas"
"Ïðîäàþ ñâåòëóþ, ò¸ïëóþ êâàðòèðó â öåíòðå Çèåïíèåêêàëíñà ñ ìåáåëü","3",75,"119.",83000,9,10,"Ziepniekkalns","Valdeku 53","Valdeku"
"Pardodas saulains (Dienvidi) 2 istabu dzivoklis ar labu skatu uz","2",60,"119.",61500,4,9,"Zolitude","Biezina 4","Biezina"
"Âëàäåëåö ïðîäà¸ò 3-õ êîìíàòíóþ, îñâîáîæäåííóþ, íå óãëîâóþ êâàðòè","3",59,"LT proj.",43900,5,5,"Kengarags","Gludas 10","Gludas"
"Pardodu 3-istabu dzivokli; ar iespeju pirkt kopa ar garazu (5800","3",60,"467.",53000,3,9,"Kengarags","Maskavas 427","Maskavas"
"Pardodu gaisu 3 istabu dzivokli erta vieta, trolejbusa un mikroa","3",60,"LT proj.",51000,3,5,"Kengarags","Visku 9","Visku"
"Ipasnieks pardod gaisu un majigu dzivokli blakus Uzvaras parkam.","1",24,"Hrusc.",39000,1,4,"Agenskalns","Barinu 1a","Barinu"
"Äîì íàõîäèòñÿ â òèõîé ÷àñòè ðàéîíà, ðÿäîì ñ ïàðêîì. Êâàðòèðà îñâ","2",50,"602.",43000,1,9,"Ziepniekkalns","Valdeku 54","Valdeku"
"Tiek pardots gaiss, silts un saulains divistabu dzivoklis Jugla","2",45,"Hrusc.",41850,5,5,"Jugla","Brivibas 365","Brivibas"
"Â êâàðòèðå ïîìåíÿíû áàòàðåè. Äåðåâÿííûå ñòåêëîïàêåòû. Ìåíÿëèñü ò","3",56,"LT proj.",47000,4,5,"Vecmilgravis","Emmas 11","Emmas"
"Piedavajam iegadei 1-istabu dzivokli, 41, 51 kv. m. ekas 2 stava","1",42,"Jaun.",98300,2,4,"Teika","Keguma 39 A","Keguma"
"Zala apdzivota vieta, talak no lielo celu troksna, Stalina laika","3",77,"Stalina",96000,3,3,"Sampeteris-Pleskodale","Kalnciema 116","Kalnciema"
"Pardodu 2-x dzivoklus, 104 serija, 60 m, 2/12, visas ertibas, iz","2",60,"104.",54700,2,12,"Purvciems","Dzelzavas 42","Dzelzavas"
"Piedavajam iegadei 3-istabu dzivokli, 74, 36 kv. m. ekas 4. stav","3",74,"Jaun.",174300,4,4,"Teika","Keguma 39 B","Keguma"
"Piedavajam iegadei 4-istabu dzivokli, 86, 72 kv. m. ekas 1. stav","4",87,"Jaun.",189800,1,4,"Teika","Keguma 39 B","Keguma"
"Blakus Mezaparkam, jaunaja projekta ""Liepziedi"" tiek piedavati d","3",55,"Jaun.",1e+05,5,6,"Aplokciems","Briezu 9","Briezu"
"Ïðîäà¸òñÿ êâàðòèðà ñ êàïèòàëüíûì ðåìîíòîì. Íå óãëîâàÿ, çåìëÿ â ñ","2",60,"119.",67500,2,9,"Ziepniekkalns","Valdeku 63","Valdeku"
"Pardosana dzivoklis ar stavvietu seta aiz barjeras. Maja ir lift","1",31,"Specpr.",70000,3,6,"Centrs","Stabu 11","Stabu"
"Ýòà çàìå÷àòåëüíàÿ êâàðòèðà íàõîäèòñÿ â êðàñèâîì ìåñòå, ñ õîðîøåé","3",85,"Jaun.",146000,4,4,"Mezciems","Kaivas 29","Kaivas"
"Plass 2 istabu dzivoklis ar privatmajas sajutu. Visi logi uz sle","2",46,"Renov.",61000,1,2,"Agenskalns","Ludvika 2A","Ludvika"
"Saimnieks Pardod, 2 istabu dzivokli, Plavniekos, Ilukstes iela 3","2",60,"119.",62900,8,9,"Plavnieki","Ilukstes 34","Ilukstes"
"Pardod vienistabas dzivokli, ieksa ir tualete un dusa. Ir skunis","1",26,"P. kara",14500,1,2,"Ilguciems","Grodnas 1a","Grodnas"
"Ratsupites iela 3

Pardod 3 istabu dzivokli ar kopejo dzivokla p","3",82,"Jaun.",180000,2,6,"Imanta","Kleistu 43","Kleistu"
"Pardod vienistabas dzivokli pilsetas centra. Dzivoklis ar svaigu","1",36,"P. kara",58000,2,4,"Centrs","Tallinas 30","Tallinas"
"Õîçÿèí ïðîäàåò êâàðòèðó. Ïðåêðàñíîå ìåñòîðàñïîëîæåíèå. Âñå ðÿäîì","3",63,"602.",68999,1,9,"Mezciems","Eizensteina 77","Eizensteina"
"2 istabu dzivoklis Rigas centra neatkartojamas atmosferas un ves","2",64,"Specpr.",105000,1,6,"Centrs","Skolas 34","Skolas"
"Ïðîäàåì íåáîëüøóþ êâàðòèðó â öåíòðå Ïóðöèåìñà. 

Òåïëàÿ, ñóõàÿ,","1",18,"M. gim.",13000,5,5,"Purvciems","Burtnieku 33","Burtnieku"
"Âëåäåëåö ïðîäàåò êâàðòèðó. Ïàðêîâêà âî äâîðå, íå óãëîâàÿ. Â êâàð","1",30,"P. kara",10700,1,3,"Sarkandaugava","Kakasekla d. 20","Kakasekla"
"Trisistabu dzivoklis ""Jaunaja Teika"", ekas buvnieciba pabeigta 2","3",68,"Jaun.",135000,1,10,"Teika","Ropazu 14A","Ropazu"
"Ñîáñòâåííèê ïðîäàåò îòëè÷íóþ êâàðòèðó ñ î÷åíü êà÷åñòâåííûì ðåìîí","3",77,"119.",93000,9,10,"Zolitude","Biezina 7","Biezina"
"Pardosana nonacis lielisks dzivoklis Putnu iela 31. Tas ir unika","2",54,"Jaun.",115000,5,6,"Ziepniekkalns","Putnu 31","Putnu"
"Â êèðïè÷íîé íîâîñòðîéêå íåäàâíèõ âðåìåí, ðàñïîëîæåííîé â æèâîïèñ","1",36,"Specpr.",40900,4,5,"Mezciems","Bikernieku 230","Bikernieku"
"Saules nav sturis dzivoklis loti erta dzives vieta, viss blakus.","3",60,"LT proj.",56800,3,5,"Jugla","Malienas 70","Malienas"
"Tiek pardots mebeletu dzivokli ar klusu un ertu pagalma. Dzivokl","3",61,"602.",55390,9,9,"Plavnieki","Salnas 16","Salnas"
"Pardodam musu milo dzivokli - unikals, saulains 2 istabu dzivokl","2",41,"Hrusc.",69000,5,5,"Teika","Ropazu 24","Ropazu"
"Pardod remontejamu divistabu dzivokli Tornakalna. Pie majas ir s","2",41,"Priv. m.",28000,2,2,"Tornakalns","Indrika 16","Indrika"
"Ipasnieks pardod plasu cetristabu dzivokli pilsetas centra, 4 gu","4",109,"P. kara",125000,5,6,"Centrs","Brivibas 150","Brivibas"
"Tiek pardots plass 3 istabu dzivoklis Zolitudes rajona. 



Dziv","3",74,"119.",84500,8,9,"Zolitude","Zolitudes 46","Zolitudes"
"Blakus Mezaparkam, jaunaja projekta ""Liepziedi"" tiek piedavati d","3",55,"Jaun.",87500,1,6,"Aplokciems","Briezu 9","Briezu"
"Tiesi preti Mezaparkam un 2km attaluma no Kisezera pludmales. Lo","2",46,"Hrusc.",38950,1,5,"Mangali","Mores 7","Mores"
"Zalves iela 15 - 3, Pleskodale-Sampeteris 

Ñåðèÿ: Íîâûé ïðîåêò","1",90,"Jaun.",80000,3,3,"Sampeteris-Pleskodale","Zalves 15","Zalves"
"4 istabu dzivoklis specprojekta - Baznicas 41/43.



- liela vie","4",114,"Specpr.",225000,1,7,"Centrs","Baznicas 41/43","Baznicas"
"Pardod 2-istabu dzivokli - majigu, klusu, siltu un saulainu ar v","2",55,"Specpr.",45000,5,5,"Kengarags","Maskavas 409","Maskavas"
"Saimnieks pardod ertu dzivokli agenskalna priedes. 30.9 m2 Ir bo","1",31,"Hrusc.",41500,4,5,"Agenskalns","Kristapa 24","Kristapa"
"Tiek pardots mansarda stava 4-istabu dzivoklis jauna, musdieniga","4",134,"Jaun.",290000,6,6,"Centrs","Dzirnavu 37","Dzirnavu"
